quarter_text,nuevas,reinversion,entre_cias,inversion,exportaciones,estado,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-2,4.6194134,22.510038,-2.988075,24.141376,93.746002,Sinaloa,2,41.900002,95.81781,172.71001,0.23217461,0.16170711,0.93502644,0.007905681,0.081999995
2008-2,74.408257,56.720112,622.03168,753.16003,3246.0481,Sonora,1,43.5,90.432518,188.58667,0.24663258,0.090620408,1.2169026,0.00571137,0.07
2008-2,5.1748619,24.280933,-7.9080648,21.547731,3067.874,Tabasco,0,44.400002,88.269341,196.76666,0.24161789,0.063672684,1.5026754,0.012279732,0.134
2008-2,19.50172,72.086311,99.145287,190.73332,6651.3521,Tamaulipas,1,42.200001,105.1002,210.84,0.25691733,0.067439854,1.9003808,0.006805857,0.107
2008-2,-10.477524,15.332411,-2.724303,2.130584,252.42101,Tlaxcala,0,42,93.236168,193.67334,0.21135856,0.09328944,0.46208786,0,0.17200001
2008-2,51.026512,103.8215,-8.5936108,146.25441,1581.964,Veracruz,0,44.099998,94.117874,212.73334,0.1799354,0.054875589,0.73189492,0.012561882,0.153
2008-2,1.571421,42.308372,2.6870699,46.56686,259.034,Yucatán,0,39.900002,89.551109,178.81667,0.17351587,0.027569231,0.9300714,0,0.199
2008-2,168.3833,75.129013,8.5595427,252.07187,624.67102,Zacatecas,1,40.599998,84.390945,177.88667,0.13729107,0.034602359,0.95936732,0.004070866,0.125
2008-3,17.371746,0.30792499,31.140074,48.819744,1284.78,Aguascalientes,0,45.700001,89.032631,204.23334,0.25510767,0.06137669,1.6978002,0.011237985,0.059999999
2008-3,129.04024,13.355107,177.82982,320.22516,9439.3232,Baja California,3,44.5,99.852127,232.50999,0.24844968,0.044960507,5.9758932,0.017020762,0.034000002
2008-3,202.23105,-0.18272699,41.047382,243.0957,44.073002,Baja California Sur,0,42.400002,93.712822,222.17332,0.29401374,0.031247739,3.4356066,0.014801561,0.046999998
2008-3,6.884532,0.198256,-5.723053,1.359735,9201.8682,Campeche,0,44.099998,95.056374,249.22334,0.2200831,0.041899166,0.11337421,0,0.169
2008-3,18.542089,-7.6612248,-33.538986,-22.658123,258.76501,Chiapas,0,42.299999,91.935371,180.76001,0.15465122,0.055327528,0.34789278,0.005868071,0.31799999
2008-3,181.01372,6.9177532,260.14777,448.07925,7434.0952,Chihuahua,3,43.400002,92.176224,212.84666,0.20353912,0.20880373,3.1416528,0.015994714,0.039000001
2008-3,666.80865,8.510807,-253.65071,421.66876,799.59998,Ciudad de México,16,44.099998,92.881912,305.61002,0.36627001,0.041477066,2.6511874,0.028431859,0.071000002
