Fecha ,total_public,cetes,bondes,udibonos,bonos,bondes_d
oct-17,"6,684,542,777.86","903,294,365.00",0,"1,514,635,080.86","3,028,204,960.00","1,238,408,372.00"
nov-17,"6,726,447,168.38","886,755,033.00",0,"1,547,772,335.38","3,024,359,550.00","1,267,560,250.00"
dic-17,"6,443,807,717.79","884,562,661.00",0,"1,458,798,996.79","2,839,372,280.00","1,261,073,780.00"
ene-18,"6,521,912,218.99","889,624,588.00",0,"1,476,754,282.99","2,878,250,000.00","1,277,283,348.00"
feb-18,"6,553,440,461.97","881,109,603.00",0,"1,490,727,686.97","2,914,605,510.00","1,266,997,662.00"
mar-18,"6,685,833,338.11","847,681,283.00",0,"1,516,505,105.11","3,046,035,610.00","1,275,611,340.00"
abr-18,"6,744,880,154.17","821,330,863.00",0,"1,537,358,634.17","3,129,369,940.00","1,256,820,717.00"
may-18,"6,824,185,097.60","851,483,569.00",0,"1,557,408,924.60","3,126,925,040.00","1,288,367,564.00"
jun-18,"6,647,400,427.22","851,234,256.00",0,"1,559,125,619.22","2,984,351,620.00","1,252,688,932.00"
jul-18,"6,750,090,038.97","971,898,169.00",0,"1,595,874,541.97","2,921,470,560.00","1,260,846,768.00"
ago-18,"6,766,102,656.09","948,620,228.00",0,"1,614,573,942.09","2,932,241,620.00","1,270,666,866.00"
sep-18,"6,861,072,456.75","977,141,114.00",0,"1,635,288,515.75","2,986,336,020.00","1,262,306,807.00"
oct-18,"6,695,733,548.96","945,205,874.00",0,"1,596,652,308.96","2,903,532,580.00","1,250,342,786.00"
nov-18,"6,747,338,527.34","972,172,833.00",0,"1,586,921,014.34","2,906,978,890.00","1,281,265,790.00"
dic-18,"6,674,471,829.43","943,891,166.00",0,"1,652,506,958.43","2,823,845,740.00","1,254,227,965.00"
ene-19,"6,749,142,568.80","882,701,376.00",0,"1,653,809,056.80","2,920,335,910.00","1,292,296,226.00"
feb-19,"6,834,169,237.46","868,455,510.00",0,"1,679,081,903.46","2,997,839,780.00","1,288,792,044.00"
mar-19,"6,927,927,341.64","805,130,151.00",0,"1,726,892,762.64","3,091,166,690.00","1,304,737,738.00"
abr-19,"7,097,184,444.88","844,946,136.00",0,"1,772,060,030.88","3,131,747,640.00","1,348,430,638.00"
may-19,"7,232,281,772.17","829,602,078.00",0,"1,804,908,610.17","3,207,799,750.00","1,389,971,334.00"
jun-19,"7,197,089,965.83","926,705,403.00",0,"1,658,689,011.83","3,246,020,650.00","1,365,674,901.00"
jul-19,"7,323,062,761.01","913,786,768.00",0,"1,693,976,706.01","3,317,630,180.00","1,397,669,107.00"
ago-19,"7,547,264,317.08","926,693,092.00",0,"1,761,074,478.08","3,464,894,140.00","1,394,602,607.00"
sep-19,"7,664,643,779.59","908,946,891.00",0,"1,778,354,895.59","3,551,367,630.00","1,425,974,363.00"
oct-19,"7,913,632,347.39","992,185,196.00",0,"1,828,992,417.39","3,672,422,910.00","1,420,031,824.00"
nov-19,"8,065,604,057.86","1,053,150,846.00",0,"1,844,957,543.86","3,700,954,360.00","1,466,541,308.00"
dic-19,"7,831,528,063.09","1,115,855,310.00",0,"1,839,287,021.09","3,457,615,190.00","1,418,770,542.00"
ene-20,"7,958,947,261.38","1,060,281,803.00",0,"1,911,711,785.38","3,576,424,500.00","1,410,529,173.00"
feb-20,"7,974,218,721.59","990,122,940.00",0,"1,941,579,352.59","3,597,994,330.00","1,444,522,099.00"
